Rank,Title,Artist,Album
1,Supernova,aespa,Armageddon - The 1st Album
2,How Sweet,NewJeans,How Sweet
3,클락션 (Klaxon),(여자)아이들,I SWAY
4,Sticky,KISS OF LIFE,Sticky
5,Small girl (feat. 도경수(D.O.)),이영지,16 Fantasy
6,Supernatural,NewJeans,Supernatural
7,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
8,고민중독,QWER,1st Mini Album 'MANITO'
9,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
10,Bubble Gum,NewJeans,How Sweet
11,나는 아픈 건 딱 질색이니까,(여자)아이들,2
12,Armageddon,aespa,Armageddon - The 1st Album
13,해야 (HEYA),IVE (아이브),IVE SWITCH
14,Magnetic,아일릿(ILLIT),SUPER REAL ME
15,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’
16,Welcome to the Show,DAY6 (데이식스),Fourever
17,SPOT! (feat. JENNIE),지코 (ZICO),SPOT!
18,예뻤어,DAY6 (데이식스),Every DAY6 February
19,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))
20,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
21,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
22,Boom Boom Bass,RIIZE,RIIZING - The 1st Mini Album
23,에피소드,이무진,에피소드
24,미안해 미워해 사랑해,Crush,눈물의 여왕 OST Part.4
25,온기,임영웅,온기
26,우리들의 블루스,임영웅,IM HERO
27,Home,임영웅,온기
28,Love wins all,아이유,The Winning
29,슬픈 초대장,순순희(지환),슬픈 초대장
30,내가 S면 넌 나의 N이 되어줘,TWS (투어스),TWS 2nd Mini Album ‘SUMMER BEAT!’
31,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
32,모래 알갱이,임영웅,모래 알갱이
33,비의 랩소디,임재현,비의 랩소디
34,I AM,IVE (아이브),I've IVE
35,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
36,다시 만날 수 있을까,임영웅,IM HERO
37,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
38,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
39,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
40,Do or Die,임영웅,Do or Die
41,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
42,무지개,임영웅,IM HERO
43,London Boy,임영웅,Polaroid
44,Polaroid,임영웅,Polaroid
45,WAY 4 LUV,PLAVE,ASTERUM : 134-1
46,헤어지자 말해요,박재정,1집 Alone
47,오래된 노래,허각,오래된 노래
48,Ditto,NewJeans,NewJeans 'OMG'
49,Drama,aespa,Drama - The 4th Mini Album
